Designator,Footprint,Quantity,Value,LCSC Part #
C1,C0603,1,100nF,C14663
"C10, C14",603,2,15p,C1644
"C11, C13, C15, C16, C17, C18, C19, C47, C7, C8, C9",603,11,2.2u,C23630
"C12, C2, C20, C24, C35, C43, C6",603,7,100n,C14663
"C21, C23, C26, C28, C39, C4, C40, C66, C67",603,9,1nF,C1588
"C22, C25, C30, C32, C44",603,5,2.2uF,C23630
C27,603,1,6.8n,C1631
C29,603,1,150p,C1594
C3,603,1,.01uF,C57112
C31,603,1,22n,C21122
"C33, C42",1210,2,"4.7uF, 100V",C385986
C34,603,1,15nF,C1596
"C36, C37, C38, C41",603,4,220n,C21120
"C45, C46, C48, C49, C50, C51",805,6,22uf,C45783
C5,603,1,0.1u,C14663
"C52, C53, C59, C60",603,4,2.2nF,C1604
"C55, C56, C63, C64, C68, C69",805,6,"4.7nF, 100V",C565636
"C58, C61, C62",2220,3,"10uF, 100V",C153035
"C70, C71",C1206,2,22uF,C77091
"D1, D2",SOT-363_SC-70-6,2, SMF05CT1G,C15879
"D10, D11, D12, D13, D14, D15",D_SOD-323,6,D_Schottky,C313457
D16,SMA_L4.3-W2.6-LS5.2-RD,1,SS34,C8678
D3,603,1,RED,C2286
D4,603,1,GRN,C72043
D5,603,1,BLU,C965807
D6,D_SMA,1,"100v, 1A",C224219
D7,D_SMB,1,D_TVS,C78395
D8,TO-220-2_Horizontal_TabUp,1,STTH3010DTO-220AC_STM,C73865
D9,SODFL3618X110N,1,GOODWORK K110,C908663
L1,L_Taiyo-Yuden_NR-60xx_HandSoldering,1,22u,C266430
L2,IND-SMD_L7.0-W6.8,1,22uH,C27442
NTC1,603,1,NTC 10k,C76589
"Q10, Q11, Q2, Q3, Q6, Q7",SOT-23,6,Q_PNP_BCE,C8542
"R1, R2",R0603,2,5.1k,C23186
"R10, R15, R16, R17, R29, R37, R39, R41, R5",603,9,2k2,C4190
"R11, R8, R9",603,3,100R,C22775
"R12, R13",603,2,60,C25196
"R14, R18, R19, R20, R22, R23, R30, R32",603,8,10k,C25804
"R21, R33, R34",603,3,1.5k,C22843
"R24, R25, R31",603,3,1k,C21190
R26,603,1,3.3k,C22978
R27,603,1,18k,C25810
R28,603,1,15k,C22809
R3,603,1,0R,C3017805
R35,603,1,220k,C22961
"R36, R38, R4, R40",603,4,39k,C23153
"R42, R44",RESC2012X65,2,20k,C114233
"R43, R45",RESC2012X65,2,1k,C100046
"R46, R47, R49, R86",RESC2012X65,4,10k,C100047
"R48, R89",RESC2012X65,2,560,C137421
"R50, R51, R62, R63, R74, R75",603,6,4.7R,C23164
"R52, R53, R64, R65, R76, R77",805,6,4.7R,C17675
"R54, R55, R66, R67, R78, R79",603,6,4.7k,C23162
"R56, R57, R68, R69, R80, R81",R_2512_Yageo_big_pads,6,0.01R,C2903468
"R58, R59, R60, R61, R70, R71, R72, R73, R82, R83, R84, R85",805,12,10R,C17415
"R6, R7",603,2,22R,C23345
R87,RESC2012X65,1,62K,C137415
R88,RESC2012X65,1,3k3,C114222
U1,SOIC-8_3.9x4.9mm_P1.27mm,1,TJA1051T/3/1J,C38695
U2,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGT6,C15742
U3,SOIC-8_3.9x4.9mm_P1.27mm,1,TP2604-SR,C126446
U4,HTSSOP-56-1EP_6.1x14mm_P0.5mm_EP3.61x6.35mm,1,DRV8301,C98969
U5,SOT-223-3_TabPin2,1,AMS1117-3.3,C6186
U7,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL(MT3608),1,MT3608,C84817
X1,Crystal_SMD_5032-2Pin_5.0x3.2mm,1,8MHz 10ppm (X50328MSB2GI),C115962
